Linux 3.10.0-514.16.1.el7.x86_64 (c01-h14-r620.rdu.openstack.engineering.redhat.com_3.example.com) 	06/15/2017 	_x86_64_	(2 CPU)

07:03:57 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:38 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:39 PM     all      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:39 PM       0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:39 PM       1      0.00      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:40 PM     all      2.50      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:40 PM       0      2.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.96
07:04:40 PM       1      3.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
07:04:41 PM     all      0.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:41 PM       0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:41 PM       1      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02

07:04:41 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:42 PM     all      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.01
07:04:42 PM       0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:42 PM       1      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:43 PM     all      1.01      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.49
07:04:43 PM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:43 PM       1      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:44 PM     all     14.50      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     83.50
07:04:44 PM       0     28.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     69.00
07:04:44 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:45 PM     all      0.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.51
07:04:45 PM       0      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:45 PM       1      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:46 PM     all      1.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:46 PM       0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:46 PM       1      2.97      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     96.04
07:04:47 PM     all      0.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.51
07:04:47 PM       0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
07:04:47 PM       1      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
07:04:48 PM     all      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:48 PM       0      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:48 PM       1      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:49 PM     all      0.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:49 PM       0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:49 PM       1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
07:04:50 PM     all      1.50      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:50 PM       0      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:50 PM       1      1.96      0.00      1.96      0.00      0.00      0.00      0.00      0.00      0.00     96.08
07:04:51 PM     all      0.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:51 PM       0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
07:04:51 PM       1      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:52 PM     all      8.50      0.00     16.50      0.00      0.00      0.00      0.00      0.00      0.00     75.00
07:04:52 PM       0     11.00      0.00     25.00      0.00      0.00      0.00      0.00      0.00      0.00     64.00
07:04:52 PM       1      6.00      0.00      9.00      0.00      0.00      0.00      0.00      0.00      0.00     85.00

07:04:52 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:53 PM     all      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:53 PM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:53 PM       1      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
07:04:54 PM     all      1.50      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:54 PM       0      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:54 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:55 PM     all      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.01
07:04:55 PM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:55 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:56 PM     all      1.01      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.49
